"","target.effect","orig.study.number","orig.N","orig.ES.type","orig.ES","orig.ES.CI","rep.N","rep.ES.type","rep.ES","rep.ES.CI","rep.study.number","rep.outcome","IVs","DVs","rep.type","rep.effort.type","rep.method.differences","rep.active.sample.evidence","other.outcomes","ES.description","EC.URL","orig.study.article.URL","orig.study.article.DOI","rep.study.article.URL","rep.open.data.URL","rep.open.materials.URL","rep.pre.reg.URL","orig.open.data.URL","orig.open.materials.URL","orig.pre.reg.URL","rep.population","discipline","orig.study.pub.year","reporting.standard.used","effect.description","design","statistical.effect.type","orig.test.statistic","orig.pvalue","rep.outcome.bayesian","orig.article.title","RPP.orig.untransformed.ES","RPP.rep.untransformed.ES","RPP.interpretation","RPP.study.number","study.order.CS","rep.num.in.set","social.priming","include.in.HTML.table","rep.num","x_crcited","x_altscore","rvCAN","x_altscore_pyear","x_crcited_pyear","rvCAN_pyear","orig.ES.CI.r","rvCAP","rvCAP_pyear","rvCApyN","orig.pvalue.numeric"
"28","stereotype threat interaction distance effect","Goff, Steele et al. (2008) Study 4",55,"r",0.4,0.23,51,"r","0.01","0.28","Kelso, Gampa, Wright et al. (2015)","no signal - inconsistent (imprecise)",NA,NA,"very close","RPP #28",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/e2d7/50c087773d3d19b488007b16e70aef0a1ce4.pdf?_ga=2.159777915.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.1.91","https://osf.io/7q5us/","https://osf.io/abxcj/","https://osf.io/abxcj/",NA,NA,NA,NA,NA,"social",2008,NA,"When learning goals absent, Ps sat closer to each other when they discussed love and relationships compared to when they discussed racial profiling. ","between ANOVA","interaction","F(1, 51) = 9.46","<.01",NA,"The space between us: Stereotype threat and distance in interracial contexts.","η²(N=55) = .16","η²(N=51) = .002","unsuccessful",87,28,28,NA,"yes",28,118,13.008,2.26370909090909,1.3008,11.8,0.226370909090909,0.23,28.63592,2.863592,0.641991363863979,0.01
"29","generalized earning prospect predicts romantic interest effect","Eastwick & Finkel (2008) Study 1",163,"r",0.14,0.16,304,"r","0.03","0.11","Selterman, Chagnon et al. (2015)","no signal - consistent",NA,NA,"very close","RPP #29",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/ec64/e26322c7fdbf9e54981a07693974423f3031.pdf?_ga=2.159777915.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.2.245","https://osf.io/5pjsn/","https://osf.io/ng6cc/","https://osf.io/ng6cc/",NA,NA,NA,NA,NA,"social",2008,NA,"Perceived earning prospects significantly positively predicted romantic interest in speed-dating situation for both men and women (absence of evidence for interaction effect).","Meta-analytic summary of interaction effects in 14 multilevel models","interaction","t(26) = 0.72","0.48",NA,"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?","r(N=163) = +.04","r(N=304) = +.01","successful",89,29,29,NA,"yes",29,157,42.352,1.09310429447853,4.2352,15.7,0.109310429447853,0.16,28.50816,2.850816,0.587482089898127,0.48
"30","approach priming partner criticism effect","Murray, Derrick et al. (2008) Study 8",91,"r",0.32,0.18,76,"r","-0.14","0.22","Sinclair, Goldberg et al. (2015)","no signal - inconsistent (imprecise)",NA,NA,"very close","RPP #30",NA,NA,NA,NA,NA,"https://www.researchgate.net/profile/Jaye_Derrick/publication/5568464_Balancing_Connectedness_and_Self-Protection_Goals_in_Close_Relationships_A_Levels-of-Processing_Perspective_on_Risk_Regulation/links/0912f50eb380ee6584000000.pdf","10.1037/0022-3514.94.3.429","https://osf.io/3hndq/","https://osf.io/cxmf6/","https://osf.io/cxmf6/",NA,NA,NA,NA,NA,"social",2008,NA,"When primed with approach goals, low self-esteem Ps in partner criticism condition believed their partner regarded them significantly more negatively than did controls. ","hierarchical regression analyses","interaction","t(83) = 3.05","<.01",NA,"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.","sr²(N=91) = +.07","beta(N=76) = -.231","unsuccessful",93,30,30,"yes","yes",30,97,10,1.12087912087912,1,9.7,0.112087912087912,0.18,18.36,1.836,0.52545279631156,0.01
"31","math self-handicapping effect","McCrea (2008) Study 5",28,"r",0.34,0.35,61,"r","0.29","0.24","Chartier (2015)","signal - consistent",NA,NA,"very close","RPP #31",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/1724/262903b5e1164bf55c1bf263d05761516b68.pdf?_ga=2.159777915.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.95.2.274","https://osf.io/ytxgr/","https://osf.io/mua6d/","https://osf.io/mua6d/",NA,NA,NA,NA,NA,"social",2008,NA,"Self-handicap condition Ps performed worse on mathematical questions task than control condition Ps.","independent samples t-test","main effect","t(26) = 1.87","<.05",NA,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.","d(N=28) = +.736","d(N=61) = +.197","successful",94,31,31,NA,"yes",31,30,35.892,1.71235714285714,3.5892,3,0.171235714285714,0.35,16.7811,1.67811,0.565821197148418,0.05
"32","social identity contingencies effect","Purdie-Vaughns  et al. (2008) Study 2",90,"r",0.38,0.18,1490,"r","-0.04","0.05","Schmidt (2015)","no signal - inconsistent",NA,NA,"very close","RPP #32",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/95f9/403e6b658714ddfdca17ac94b5274cf8f81f.pdf?_ga=2.128443466.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.4.615","https://osf.io/3rxvs/","https://osf.io/etg7c/","https://osf.io/etg7c/",NA,NA,NA,NA,NA,"social",2008,NA,"Among Black, but not White professionals, high (compared to low) fairness cue lowered expectations of threatening identity contingencies and increased trust. ","ANOVA","interaction","F(1, 73) = 12.19","0.001",NA,"social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.","η²(N=90) = .143","η²(N=1490) = .001","unsuccessful",97,32,32,NA,"yes",32,212,27.008,2.5056,2.7008,21.2,0.25056,0.18,40.59072,4.059072,0.705343595332036,0.001
"33","fluency priming on psychological distance effect","Alter & Oppenheimer (2008) Study 2",236,"r",0.13,0.12,1146,"r","0.02","0.06","Foster (2015)","no signal - inconsistent",NA,NA,"very close","RPP #33",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/75b8/524267afcc74aa0d317689c8b6d28bb3d3f0.pdf?_ga=2.128443466.756229126.1510337183-1264817730.1510337183","10.1111/j.1467-9280.2008.02062.x","https://osf.io/jym7h/","https://osf.io/kegmc/","https://osf.io/kegmc/",NA,NA,NA,NA,NA,"social",2008,NA,"Conceptually-fluent primed Ps reported increased preference for concrete descriptions of the prime later, compared to conceptually-disfluent primed Ps. ","Pearson's Chi-squared test","main effect","X^2(1, N=236) = 3.83","0.05",NA,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).","Φ (phi)(N=236) = .13","Φ (phi)(N=1146) = .02","unsuccessful",104,33,33,"yes","yes",33,95,18.584,0.441915254237288,1.8584,9.5,0.0441915254237288,0.12,12.51504,1.251504,0.444735058657538,0.05
"34","goal priming boosts learning effect","Eitam, Hassin et al. (2008) Study 2",86,"r",0.22,0.2,158,"r","0.1","0.16","Prenoveau & Kirkhart (2015)","no signal - consistent",NA,NA,"very close","RPP #34",NA,NA,NA,NA,NA,"http://pluto.mscc.huji.ac.il/~mschul/yaacov_schul_files/2008-eitam%26hassin%26schul-psych-science.pdf","10.1111/j.1467-9280.2008.02078.x","https://osf.io/x75fq/","https://osf.io/edcr7/","https://osf.io/edcr7/",NA,NA,NA,NA,NA,"social",2008,NA,"Goal primed Ps learned more on an incidental-learning task (serial reaction time task; SRT) than control-group Ps.","independent samples t-test","main effect","t(84) = 2.09","prep = .92",NA,"Nonconscious goal pursuit in novel environments: The case of implicit learning.","d(N=86) = +.45","d(N=158) = -.21","unsuccessful",107,34,34,"yes","yes",34,39,NA,NA,NA,3.9,NA,0.2,NA,NA,NA,0.92
"35","sex difference in perceived sexual interest effect","Farris, Treat et al. (2008) Study 1",280,"r",0.55,0.08,144,"r","0.09","0.16","Attwood, Easey, & Munafo (2015)","no signal - inconsistent (imprecise)",NA,NA,"very close","RPP #35",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/7506/0955a43d0c40d1e10ffee2f66b23c4f912fe.pdf?_ga=2.160367867.756229126.1510337183-1264817730.1510337183","10.1111/j.1467-9280.2008.02092.x","https://osf.io/5u4km/","https://osf.io/7dyp5/","https://osf.io/7dyp5/",NA,NA,NA,NA,NA,"social",2008,NA,"Male Ps exhibited less sensitivity in distinguishing friendliness versus sexual interest compared to women (supporting a male perceptual insensitivity account).","general linear model","interaction","F(1, 278) = 123.38","<.001",NA,"Perceptual mechanisms that characterize gender differences in decoding women's sexual intent","η²(N=280) = .326","η²(N=144) = .008","unsuccessful",110,35,35,NA,"yes",35,35,14.398,0.150710714285714,1.4398,3.5,0.0150710714285714,0.08,3.37592,0.337592,0.283475507879104,0.001
"36","prescribed optimism effect","Armor, Massey et al. (2008) Study 1",126,"r",0.68,0.1,177,"r","0.76","0.06","Lassetter, Brandt et al. (2015)","signal - inconsistent, larger",NA,NA,"very close","RPP #36",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/ebcb/12ed8b27bfe3588e8f9b994f4acc914f050e.pdf?_ga=2.160367867.756229126.1510337183-1264817730.1510337183","10.1111/j.1467-9280.2008.02089.x","https://osf.io/8u5v2/","https://osf.io/qlzap/","https://osf.io/qlzap/",NA,NA,NA,NA,NA,"social",2008,NA,"Among accurate, optimistic, or pessimistic predictions, Ps most likely to recommend optimistic predictions. ","single sample t-test","main effect","t(124) =10.36","prep > .99",NA,"Prescribed optimism: Is it right to be wrong about the future?","d(N=125) = +.93","d(N=177) = +1.18","successful",113,36,36,NA,"yes",36,26,NA,NA,NA,2.6,NA,0.1,NA,NA,NA,0.99
"37","age-related episodic memory effect","Addis, Wong et al. (2008) Study 1",32,"r",0.57,0.26,32,"r","0.65","0.22","Vasquez (2015)","signal - consistent",NA,NA,"very close","RPP #37",NA,NA,NA,NA,NA,"http://scholar.harvard.edu/files/schacterlab/files/addiswongschacter2008.pdf","10.1111/j.1467-9280.2008.02043.x","https://osf.io/9ayxi/","https://osf.io/yaeu7/","https://osf.io/yaeu7/",NA,NA,NA,NA,NA,"social",2008,NA,"Older adults produced fewer internal details, but more external details compared to young adults. ","RM ANOVA","main effect","F(1,30) = 14.49","prep = .99",NA,"Age-related changes in the episodic simulation of future events","η²(N=32)= .326","η²(N=32) = .426","successful",114,37,37,NA,"yes",37,246,1,7.703125,0.1,24.6,0.7703125,0.26,64.09,6.409,0.925287827339463,0.99
"38","ego depletion boosts attraction effect","Masicampo & Baumeister (2008) Study 1",115,"r",0.21,0.18,166,"r","-0.05","0.16","Osborne, Vuu, & Henninger (2015)","no signal - inconsistent",NA,NA,"very close","RPP #38",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/2820/47d5641dcba11516a64d6f082154c0ab79a9.pdf?_ga=2.228131675.756229126.1510337183-1264817730.1510337183","10.1111/j.1467-9280.2008.02077.x","https://osf.io/897ew/","https://osf.io/3h29d/","https://osf.io/3h29d/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps in depletion/placebo group exhibited larger attraction effect compared to Ps in other three conditions (depletion with sugar, no depletion with sugar, no depletion with placebo). ","ANOVA","focused interaction contrast","F(1, 111) = 5.311","prep = .92",NA,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.","η²(N=115) = .045","η²(N=166) = .002","unsuccessful",118,38,38,NA,"yes",38,134,44.75,1.35978260869565,4.475,13.4,0.135978260869565,0.18,28.1475,2.81475,0.607680575944232,0.92
"39","aversive errors effect","Hajcak & Foti (2008) Study 1",31,"r",-0.38,0.32,43,"r","-0.25","0.29","Lewis & Pitts (2015)","no signal - consistent",NA,NA,"very close","RPP #39",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/4909/934881166b7b8e4c35c6f059bf2cf3952dcb.pdf","10.1111/j.1467-9280.2008.02053.x","https://osf.io/82bwv/","https://osf.io/73pnd/","https://osf.io/73pnd/",NA,NA,NA,NA,NA,"social",2008,NA,"Startle response magnitude following an error negatively correlated to Error-Related Negativity (ERN) amplitude.","zero-order correlation","correlation","r = -.38","<.05",NA,"Errors Are Aversive: Defensive Motivation and the Error-Related Negativity","r(N=31) = -.38","r(N=43) = -.25","unsuccessful",120,39,39,NA,"yes",39,148,4,4.83870967741935,0.4,14.8,0.483870967741935,0.32,48,4.8,0.792459396557429,0.05
"40","sunny side of fairness effect","Tabibnia, Satpute et al. (2008) Study 2",12,"r",0.85,0.24,24,"r","0.83","0.15","Beer, Rigney, & Flagan (2015)","signal - consistent",NA,NA,"very close","RPP #40",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/2275/5d2aeb2f4f1216ffa0f829e4cf31141c79f9.pdf?_ga=2.228131675.756229126.1510337183-1264817730.1510337183","10.1111/j.1467-9280.2008.02091.x","https://osf.io/nxp9w/","https://osf.io/94j6h/","https://osf.io/94j6h/",NA,NA,NA,NA,NA,"social",2008,NA,"Accepting unfair offers increased activation in right ventrolateral prefrontal cortex compared to baseline","dependent samples t-test","main effect","t(11) = 5.39","prep = .99",NA,"The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)","d(N=12) = +3.25","d(N=24) = +2.22","successful",121,40,40,NA,"yes",40,238,14.5,20.4375,1.45,23.8,2.04375,0.24,58.86,5.886,1.2993752324647,0.99
"41","loving woman who justify inequality effect","Lau, Kay & Spencer (2008) Study 1",36,"r",0.38,0.3,70,"r","-0.03","0.24","Stieger (2015)","no signal - inconsistent",NA,NA,"very close","RPP #41",NA,NA,NA,NA,NA,"https://u.osu.edu/spencerlab/files/2017/02/j2E1467-92802E20082E020402Ex-ov88xp.pdf","10.1111/j.1467-9280.2008.02040.x","https://osf.io/42hgf/","https://osf.io/fxqsk/","https://osf.io/fxqsk/",NA,NA,NA,NA,NA,"social",2008,NA,"Male Ps whose faith in economic system was threatened reported greater romantic interest in women who embody (versus did not embody) benevolent sexist ideals","ANOVA","interaction","F(1, 34) = 5.89","prep = .93",NA,"Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.","η²(N=36) = .147","η²(N=70) = .001","unsuccessful",124,41,41,NA,"yes",41,27,1.85,0.775694444444444,0.185,2.7,0.0775694444444444,0.3,8.3775,0.83775,0.295666052881679,0.93
"42","threat of appearing prejudiced attentional bias effect","Richeson & Trawalter (2008) Study 1",28,"r",0.37,0.34,66,"r","0.02","0.24","Lai (2015)","no signal - inconsistent",NA,NA,"very close","RPP #42",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/8d43/78b38e48bbfaa4ea06765f14709abb5ac39b.pdf?_ga=2.198763753.756229126.1510337183-1264817730.1510337183","10.1111/j.1467-9280.2008.02052.x","https://osf.io/phwi4/","https://osf.io/c5fza/","https://osf.io/c5fza/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps with high ""external motivation"" (EM) to be non-prejudiced exhibited attentional biases for neutral, but not happy Black faces. ","mixed ANOVA","interaction","F(1, 26) = 4.17","prep = .92",NA,"The threat of appearing prejudiced and race-based attentional biases.","d(N=28) = +.80","η²(N=66) = .00","unsuccessful",129,42,42,NA,"yes",42,45,3,1.66071428571429,0.3,4.5,0.166071428571429,0.34,15.81,1.581,0.470744191457615,0.92
"43","offensive behavior looking effect","Crosby, Monin et al. (2008) Study 1",25,"r",0.25,0.4,30,"r","0.18","0.36","Skorinko & Jonas (2015)","no signal - consistent",NA,NA,"very close","RPP #43",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/5458/e25a697d427d5647dda42fa4989188894d2f.pdf?_ga=2.198763753.756229126.1510337183-1264817730.1510337183","10.1111/j.1467-9280.2008.02072.x","https://osf.io/nkaw4/","https://osf.io/b98zw/","https://osf.io/b98zw/",NA,NA,NA,NA,NA,"social",2008,NA,"When White man made potentially offensive comment in presence of Black man, Ps who could hear interaction looked at Black man for a longer compared to when Ps couldnt hear interaction. ","mixed ANOVA","interaction","F(3, 69) = 5.15","<.005",NA,"Where do we look during potentially offensive behavior?","η²(N=25) = .18","η²(N=30) = .048","unsuccessful",132,43,43,NA,"yes",43,26,1,1.06,0.1,2.6,0.106,0.4,10.6,1.06,0.308571012692281,0.005
"44","having what you want happiness effect","Larsen & McKibban (2008) Study 2",119,"r",0.21,0.18,238,"r","0.5","0.09","Seibel, Vermue et al. (2015)","signal - inconsistent, larger",NA,NA,"very close","RPP #44",NA,NA,NA,NA,NA,"http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1027.2039&rep=rep1&type=pdf","10.1111/j.1467-9280.2008.02095.x","https://osf.io/h4cbg/","https://osf.io/5dx4v/","https://osf.io/5dx4v/",NA,NA,NA,NA,NA,"social",2008,NA,"People who had what they wanted were happier than others, even after controlling for the degree to which they wanted what they had. ","Partial correlation","correlation","pr = .21","prep = .92",NA,"Is happiness having what you want, wanting what you have, or both?","pr(N=119) = +.21","pr(N=238) = +.497","successful",134,44,44,NA,"yes",44,15,2.75,0.137605042016807,0.275,1.5,0.0137605042016807,0.18,2.9475,0.29475,0.120063945565423,0.92
"45","implicit attitude generalization occurs immediately effect","Ranganath & Nosek (2008) Study 1",684,"r",0,0.08,3597,"r","0.11","0.04","Cohn (2015)","signal - inconsistent, larger",NA,NA,"very close","RPP #45",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/9259/4542085ad219d5a5c611c16a8cd62c06785d.pdf?_ga=2.167774311.756229126.1510337183-1264817730.1510337183","10.1111/j.1467-9280.2008.02076.x","https://osf.io/9xt25/","https://osf.io/2gkjt/","https://osf.io/2gkjt/",NA,NA,NA,NA,NA,"social",2008,NA,"Information about original individuals automatically influenced Ps' implicit responses toward new individuals from same social category.","t-test","main effect","t(562) = -0.11","prep = .18",NA,"Implicit attitude generalization occurs immediately; explicit attitude generalization takes time","d(N=564) = -.004","d(N=3597) = +.21","unsuccessful",135,45,45,NA,"yes",45,48,NA,NA,NA,4.8,NA,0.08,NA,NA,NA,0.18
"46","anti-free-will boosts cheating effect","Vohs & Schooler (2008) Study 1",30,"r",0.5,0.3,58,"r","0.1","0.26","Giner-Sorolla, Embley et al. (2015)","no signal - inconsistent",NA,NA,"very close","RPP #46",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/a20c/fba85021eabd83780f3042636e8a3de8e58a.pdf?_ga=2.167774311.756229126.1510337183-1264817730.1510337183","10.1111/j.1467-9280.2008.02045.x","https://osf.io/2nf3u/","https://osf.io/i29mh/","https://osf.io/i29mh/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps who read anti-free-will essay cheated more often that Ps who read a control essay.","independent samples t-test","main effect","t(28) = 3.04","<.01",NA,"The value of believing in free will: Encouraging a belief in determinism increases cheating.","d(N=30) = +.88","d(N=58) = +.20","unsuccessful",136,46,46,NA,"yes",46,231,200.148,11.0358,20.0148,23.1,1.10358,0.3,99.3222,9.93222,1.10662978453703,0.01
"47","distance priming boosts psychological closeness effect","Williams & Bargh (2008) Study 4",84,"r",0.23,0.2,125,"r","0.04","0.18","Joy-Gaba, Clay, & Cleary (2015)","no signal - inconsistent",NA,NA,"very close","RPP #47",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/e63b/2302efaa97ed0909dd5a42221e6b6524a28d.pdf?_ga=2.167774311.756229126.1510337183-1264817730.1510337183","10.1111/j.1467-9280.2008.02084.x","https://osf.io/7uh8g/","https://osf.io/vnsqg/","https://osf.io/vnsqg/",NA,NA,NA,NA,NA,"social",2008,NA,"Distance-primed Ps reported higher levels of closeness toward one's family members and hometown compared to control condition Ps.","ANOVA","main effect","F(2, 81) = 4.97","prep = .95",NA,"Keeping one's distance: The influence of spatial distance cues on affect and evaluation.","η²(N=84) = .11","η²(N=125) = .03","unsuccessful",140,47,47,NA,"yes",47,139,17.57,1.75934523809524,1.757,13.9,0.175934523809524,0.2,29.557,2.9557,0.62086026712897,0.95
